symbol,exchange,quote_type,is_primary,universe_sha256
ALGN,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ALGS,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ALGT,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ALH,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ALHC,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ALIS,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ALIT,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ALK,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ALKS,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ALKT,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ALL,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ALLE,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
